id,name,team,pastTeams,role,battingHand,jerseyNo,debutYear,auctionPrice,matches,playerLink
20,Prince Yadav,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/prince-yadav-1350768
21,Digvesh Rathi,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/digvesh-rathi-1460529
22,Manimaran Siddharth,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/manimaran-siddharth-1151286
23,Arjun Tendulkar,LSG,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/arjun-tendulkar-1148776
24,Naman Tiwari,LSG,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/naman-tiwari-1408677
25,Mayank Yadav,LSG,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/mayank-yadav-1292563
1,Quinton de Kock,MI,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143
2,Danish Malewar,MI,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/danish-malewar-1421992
3,Robin Minz,MI,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/robin-minz-1350762
4,Ryan Rickelton,MI,,Wicketkeeper Batter,Left,,,,,https://www.espncricinfo.com/cricketers/ryan-rickelton-605661
5,Sherfane Rutherford,MI,,Middle order Batter,Left,,,,,https://www.espncricinfo.com/cricketers/sherfane-rutherford-914541
6,Rohit Sharma,MI,,Top order Batter,Right,,,,,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
7,Suryakumar Yadav,MI,,Batter,Right,,,,,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
8,Hardik Pandya,MI,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
9,Atharva Ankolekar,MI,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/atharva-ankolekar-1175467
10,Raj Bawa,MI,,Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/raj-bawa-1292502
11,Corbin Bosch,MI,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/corbin-bosch-594322
12,Will Jacks,MI,,Batting Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/will-jacks-897549
13,Mayank Rawat,MI,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/mayank-rawat-1079847
14,Naman Dhir,MI,,Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/naman-dhir-1287032
15,Mitchell Santner,MI,,Bowling Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
16,Shardul Thakur,MI,,Bowling Allrounder,Right,,,,,https://www.espncricinfo.com/cricketers/shardul-thakur-475281
17,Tilak Varma,MI,,Batting Allrounder,Left,,,,,https://www.espncricinfo.com/cricketers/tilak-varma-1170265
18,Ashwani Kumar,MI,,Bowler,Left,,,,,https://www.espncricinfo.com/cricketers/ashwani-kumar-1209126
19,Trent Boult,MI,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/trent-boult-277912
20,Jasprit Bumrah,MI,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383
21,Deepak Chahar,MI,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/deepak-chahar-447261
22,AM Ghazanfar,MI,,Bowler,Right,,,,,https://www.espncricinfo.com/cricketers/am-ghazanfar-1326798
