name,team,playerLink
Arjun Tendulkar,LSG,https://www.espncricinfo.com/cricketers/arjun-tendulkar-1148776
Naman Tiwari,LSG,https://www.espncricinfo.com/cricketers/naman-tiwari-1408677
Mayank Yadav,LSG,https://www.espncricinfo.com/cricketers/mayank-yadav-1292563
Ruchit Ahir,MI,https://www.espncricinfo.com/cricketers/ruchit-ahir-1395884
Danish Malewar,MI,https://www.espncricinfo.com/cricketers/danish-malewar-1421992
Robin Minz,MI,https://www.espncricinfo.com/cricketers/robin-minz-1350762
Naman Dhir,MI,https://www.espncricinfo.com/cricketers/naman-dhir-1287032
Ryan Rickelton,MI,https://www.espncricinfo.com/cricketers/ryan-rickelton-605661
Sherfane Rutherford,MI,https://www.espncricinfo.com/cricketers/sherfane-rutherford-914541
Rohit Sharma,MI,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
Suryakumar Yadav,MI,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
Quinton de Kock,MI,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143
Hardik Pandya,MI,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
Corbin Bosch,MI,https://www.espncricinfo.com/cricketers/corbin-bosch-594322
Will Jacks,MI,https://www.espncricinfo.com/cricketers/will-jacks-897549
Mahipal Lomror,MI,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265
Mayank Rawat,MI,https://www.espncricinfo.com/cricketers/mayank-rawat-1079847
Shardul Thakur,MI,https://www.espncricinfo.com/cricketers/shardul-thakur-475281
Tilak Varma,MI,https://www.espncricinfo.com/cricketers/tilak-varma-1170265
Atharva Ankolekar,MI,https://www.espncricinfo.com/cricketers/atharva-ankolekar-1175467
Raj Bawa,MI,https://www.espncricinfo.com/cricketers/raj-bawa-1292502
Mitchell Santner,MI,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
Ashwani Kumar,MI,https://www.espncricinfo.com/cricketers/ashwani-kumar-1209126
Trent Boult,MI,https://www.espncricinfo.com/cricketers/trent-boult-277912
Jasprit Bumrah,MI,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383
Deepak Chahar,MI,https://www.espncricinfo.com/cricketers/deepak-chahar-447261
AM Ghazanfar,MI,https://www.espncricinfo.com/cricketers/am-ghazanfar-1326798
Krish Bhagat,MI,https://www.espncricinfo.com/cricketers/krish-bhagat-1454586
Keshav Maharaj,MI,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724
Mayank Markande,MI,https://www.espncricinfo.com/cricketers/mayank-markande-1081442
Mohd Izhar,MI,https://www.espncricinfo.com/cricketers/mohd-izhar-1512648
Raghu Sharma,MI,https://www.espncricinfo.com/cricketers/raghu-sharma-1122621
Shreyas Iyer,PBKS,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519
Priyansh Arya,PBKS,https://www.espncricinfo.com/cricketers/priyansh-arya-1175456
Pyla Avinash,PBKS,https://www.espncricinfo.com/cricketers/pyla-avinash-1324449
Harnoor Singh,PBKS,https://www.espncricinfo.com/cricketers/harnoor-singh-1292496
Prabhsimran Singh,PBKS,https://www.espncricinfo.com/cricketers/prabhsimran-singh-1161024
Vishnu Vinod,PBKS,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293
Nehal Wadhera,PBKS,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273
Azmatullah Omarzai,PBKS,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429
Cooper Connolly,PBKS,https://www.espncricinfo.com/cricketers/cooper-connolly-1210488
Marco Jansen,PBKS,https://www.espncricinfo.com/cricketers/marco-jansen-696401
Musheer Khan,PBKS,https://www.espncricinfo.com/cricketers/musheer-khan-1316430
Mitchell Owen,PBKS,https://www.espncricinfo.com/cricketers/mitchell-owen-1213979
Shashank Singh,PBKS,https://www.espncricinfo.com/cricketers/shashank-singh-377534
Marcus Stoinis,PBKS,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012
Suryansh Shedge,PBKS,https://www.espncricinfo.com/cricketers/suryansh-shedge-1339698
Arshdeep Singh,PBKS,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
Xavier Bartlett,PBKS,https://www.espncricinfo.com/cricketers/xavier-bartlett-1050545
Yuzvendra Chahal,PBKS,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246
Praveen Dubey,PBKS,https://www.espncricinfo.com/cricketers/praveen-dubey-777515
Ben Dwarshuis,PBKS,https://www.espncricinfo.com/cricketers/ben-dwarshuis-679567
Lockie Ferguson,PBKS,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773
Harpreet Brar,PBKS,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641
Vishal Nishad,PBKS,https://www.espncricinfo.com/cricketers/vishal-nishad-1449053
Vijaykumar Vyshak,PBKS,https://www.espncricinfo.com/cricketers/vijaykumar-vyshak-777815
Yash Thakur,PBKS,https://www.espncricinfo.com/cricketers/yash-thakur-1070196
Riyan Parag,RR,https://www.espncricinfo.com/cricketers/riyan-parag-1079434
Aman Rao,RR,https://www.espncricinfo.com/cricketers/aman-rao-1403261
Shubham Dubey,RR,https://www.espncricinfo.com/cricketers/shubham-dubey-1252585
Shimron Hetmyer,RR,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025
Yashasvi Jaiswal,RR,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278
Dhruv Jurel,RR,https://www.espncricinfo.com/cricketers/dhruv-jurel-1175488
Lhuan-dre Pretorius,RR,https://www.espncricinfo.com/cricketers/lhuan-dre-pretorius-1385640
Vaibhav Sooryavanshi,RR,https://www.espncricinfo.com/cricketers/vaibhav-sooryavanshi-1408688
Ravi Singh,RR,https://www.espncricinfo.com/cricketers/ravi-singh-1461577
Emanjot Singh Chahal,RR,https://www.espncricinfo.com/cricketers/emanjot-singh-chahal-1454587
Donovan Ferreira,RR,https://www.espncricinfo.com/cricketers/donovan-ferreira-698315
Ravindra Jadeja,RR,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
Dasun Shanaka,RR,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316
Sam Curran,RR,https://www.espncricinfo.com/cricketers/sam-curran-662973
Jofra Archer,RR,https://www.espncricinfo.com/cricketers/jofra-archer-669855
Brijesh Sharma,RR,https://www.espncricinfo.com/cricketers/brijesh-sharma-1515046
Nandre Burger,RR,https://www.espncricinfo.com/cricketers/nandre-burger-971349
Tushar Deshpande,RR,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553
Kwena Maphaka,RR,https://www.espncricinfo.com/cricketers/kwena-maphaka-1294342
Adam Milne,RR,https://www.espncricinfo.com/cricketers/adam-milne-450860
Sushant Mishra,RR,https://www.espncricinfo.com/cricketers/sushant-mishra-1175457
Vignesh Puthur,RR,https://www.espncricinfo.com/cricketers/vignesh-puthur-1460388
Ravi Bishnoi,RR,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
Sandeep Sharma,RR,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362
Kuldeep Sen,RR,https://www.espncricinfo.com/cricketers/kuldeep-sen-1163695
Yash Raj Punja,RR,https://www.espncricinfo.com/cricketers/yash-raj-punja-1515186
Yudhvir Singh,RR,https://www.espncricinfo.com/cricketers/yudhvir-singh-1206052
Rajat Patidar,RCB,https://www.espncricinfo.com/cricketers/rajat-patidar-823703
Jordan Cox,RCB,https://www.espncricinfo.com/cricketers/jordan-cox-1112537
Tim David,RCB,https://www.espncricinfo.com/cricketers/tim-david-892749
Virat Kohli,RCB,https://www.espncricinfo.com/cricketers/virat-kohli-253802
Devdutt Padikkal,RCB,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026
Phil Salt,RCB,https://www.espncricinfo.com/cricketers/phil-salt-669365
Jitesh Sharma,RCB,https://www.espncricinfo.com/cricketers/jitesh-sharma-721867
Jacob Bethell,RCB,https://www.espncricinfo.com/cricketers/jacob-bethell-1194959
Kanishk Chouhan,RCB,https://www.espncricinfo.com/cricketers/kanishk-chouhan-1490396
Venkatesh Iyer,RCB,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403
Vihaan Malhotra,RCB,https://www.espncricinfo.com/cricketers/vihaan-malhotra-1354132
Mangesh Yadav,RCB,https://www.espncricinfo.com/cricketers/mangesh-yadav-1515303
Krunal Pandya,RCB,https://www.espncricinfo.com/cricketers/krunal-pandya-471342
Romario Shepherd,RCB,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
Abhinandan Singh,RCB,https://www.espncricinfo.com/cricketers/abhinandan-singh-1449085
